id,retweet_id,twitter_id,user_id,text,language,screen_name,location,in_reply_to_status_id,in_reply_to_user_id,retweet_user_id,truncated,in_reply_to_screen_name,created_at,retweet_count,lat,lon,profile_image_url,source,retweeted,coordinates,favorited,geo,place,in_reply_to_calc,id,user_id,verified,profile_image_url,geo_enabled,followers_count,protected,location,listed_count,utc_offset,statuses_count,description,friends_count,screen_name,lang,favourites_count,name,url,created_at,time_zone,grabbed,name,screen_name,type
261,0,266047306393083904,38464342,"Disappointed about the California props 34 and 37 but those will pass eventually. Just have to be patient.",NULL,LSUduck,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:19:55",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,261,38464342,0,http://a0.twimg.com/profile_images/1728557879/316140_2022756777966_1515360523_32051182_1324003559_n_normal.jpg,0,286,0,"Austin, Texas",6,-21600,9595,"Austin Indie Films Examiner for Examiner.com. Avid gymnastics, Packers, Cubs and Anaheim Ducks fan. GEAUX TIGERS!",1009,LSUduck,en,48,"Alexander White",,"2009-05-07 16:36:24","Central Time (US & Canada)",1,NULL,NULL,NULL
269,0,266048775607447552,250928511,"“@Ayamtweeting: Prop. 34 lost the youth vote, by less than one percent. Are you kidding” UGH",NULL,goforbroque,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:25:45",0,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,,269,250928511,0,http://a0.twimg.com/profile_images/2806715064/bb62f351b98a0ea421cf2e062ec49aca_normal.jpeg,1,123,0,"Berkeley / Washington DC",0,-28800,1839,"I yawn like a wookie. ",54,goforbroque,en,724,"Audrey ",,"2011-02-12 02:55:53","Pacific Time (US & Canada)",1,NULL,NULL,NULL
273,0,266048811623936000,102752116,"RT @jillstewart: Proposition 34 Death Penalty Repeal: Absentee Ballot and Early Returns look bad for those at San Quentin. http://t.co/K ...",NULL,EricLaase,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:25:54",2,NULL,NULL,NULL,"Twitter for Android",0,NULL,0,NULL,NULL,jillstewart,273,102752116,0,http://a0.twimg.com/profile_images/1821020643/orVUC8AX_normal,1,647,0,"Temecula, Ca",36,-28800,7199,"Indie writer/publisher. Follow my blog My Road To Fatherhood. It's the story of how I learn to be a Dad to my 4yo son. I'm married to my goddess, @Chelllaa. ",1682,EricLaase,en,60,EricLaase®,http://ericlaase.blogspot.com/,"2010-01-07 18:23:24","Pacific Time (US & Canada)",1,NULL,NULL,NULL
306,0,266051888997339136,320799627,"RT @MyDesert: California rejecting most propositions — Props 30, 31, 32, 33, 34, 37, and 38 all failing across the state so far. #CA #CV ...",NULL,CompaEclipse,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:38:08",6,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,MyDesert,306,320799627,0,http://a0.twimg.com/profile_images/2807303150/8afbf3b54aaf0162dcd0135e33c0c282_normal.jpeg,1,685,0,"@CompaEclipse follows you",1,-28800,32624," IG - compaeclipse #FeoGang Bitch.",292,CompaEclipse,en,16,"➝ jose∘gɑrnicɑ∘jr ✌",http://compaeclipse.Tumblr.com,"2011-06-20 15:07:13","Pacific Time (US & Canada)",1,NULL,NULL,NULL
319,0,266052783080366081,389416911,"RT @myfoxla: Latest on Proposition 34: Death Penalty Initiative NO 56%, YES 44% with 17% precincts reporting. Keep up here: http://t.co/ ...",NULL,WebDPN,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:41:41",2,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,myfoxla,319,389416911,0,http://a0.twimg.com/profile_images/1584701787/hand_normal.jpg,0,296,0,"Paris, France",6,3600,887,"Daily updated news on the death penalty worldwide.

Striving for a death-penalty free world.",147,WebDPN,en,0,"Death Penalty News",http://deathpenaltynews.blogspot.com,"2011-10-12 11:39:46",Paris,1,"Death Penalty News",WebDPN,mention
336,0,266056215937814530,104040776,"RT @iRepLALakers: Agreed! RT @nataliee_n: So disappointed in how Cali voted on props 30 and 34. Money going to all the wrong places.",NULL,nataliee_n,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:55:19",1,NULL,NULL,NULL,"UberSocial for iPhone",0,NULL,0,NULL,NULL,iRepLALakers,336,104040776,0,http://a0.twimg.com/profile_images/2808527298/23a7a026d7ac74f80b43d5ade489f84a_normal.jpeg,0,411,0,"└A ",7,-28800,7126,"Grad school student. Political Scientist. Debate team captain. Laker lover. Cupcake connoisseur. I'm good at everything.  #teamlakers ",512,nataliee_n,en,65,Natalia,,"2010-01-12 02:20:23","Pacific Time (US & Canada)",1,Natalia,nataliee_n,mention
344,0,266056846408830976,132826306,"RT @MyDesert: California rejecting most propositions — Props 30, 31, 32, 33, 34, 37, and 38 all failing across the state so far. #CA #CV ...",NULL,mariibabes,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:57:49",10,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,MyDesert,344,132826306,0,http://a0.twimg.com/profile_images/2803300444/18a6311bcd3748a351f5441e2e1bf289_normal.jpeg,0,347,0,"Storybrooke, California.",4,-28800,55398,"Ive never been good at these bio things but anyways....#OhShitShutItDownMari Instagram:ShutItDownMari",166,mariibabes,en,143,Mariela.E,http://shutitdownmari.tumblr.com/,"2010-04-14 08:27:25","Pacific Time (US & Canada)",1,NULL,NULL,NULL
347,0,266058250863128577,50807134,"Very upsetting news from California. Props 30 and 34 failed while Prop 32 passed. #election2012",NULL,theolivertaylor,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:03:24",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,347,50807134,0,http://a0.twimg.com/profile_images/2793163630/48766dd862ecc956005906bf8fb1010a_normal.jpeg,1,868,0,UK,11,0,10481,"Blogger, politico, homosexual, bibliophile and all round Patsy Stone wannabe.",1997,theolivertaylor,en,789,"Oliver Taylor",,"2009-06-25 23:10:57",London,1,NULL,NULL,NULL
354,0,266058407973363714,70539705,"RT @cselley: California Prop. 34, to abolish death penalty, looks to be failing. 12% reporting, 57% opposed.",NULL,Running4Him,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:04:02",4,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,cselley,354,70539705,0,http://a0.twimg.com/profile_images/431933300/5214_128712831636_719716636_2977916_5858068_n_normal.jpg,0,87,0,"Bismarck, ND",0,-21600,540,"Catholic missionary, Steelers fan, and lover of flip-flops.",180,Running4Him,en,7,"Kristin Laylock",http://getgirly.wordpress.com,"2009-08-31 23:55:46","Central Time (US & Canada)",1,NULL,NULL,NULL
383,0,266062022674886657,32455807,"Proposition 34, which would repeal the death penalty in California, is trailing.... http://t.co/Fwc2iZ5A",NULL,Talk2theMerc,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:18:24",0,NULL,NULL,NULL,Facebook,0,NULL,0,NULL,NULL,,383,32455807,0,http://a0.twimg.com/profile_images/758695374/M_logo_button_normal.png,1,1351,0,"Silicon Valley California",80,-28800,7801,"Part of the Bay Area News Group - reaching 2.7 million adults each week in print and online.",34,Talk2theMerc,en,0,"Mercury News",http://www.MercuryNews.com,"2009-04-17 15:53:26","Pacific Time (US & Canada)",1,NULL,NULL,NULL
389,0,266063493671837698,32778223,"Looks like Props 30-34 are a ""NO"" #California",NULL,jenni0617,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:14",0,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,,389,32778223,0,http://a0.twimg.com/profile_images/2746540559/142caae389d0cfb8a524fab42d474f44_normal.jpeg,0,376,0,"S F C A",5,-28800,11625,"I am ME & only ME. Take ME as I am or watch ME as I go. ",390,jenni0617,en,78,jenni,http://jenni0617.tumblr.com,"2009-04-18 04:15:01","Pacific Time (US & Canada)",1,NULL,NULL,NULL
404,0,266064424761184256,579177935,"Anti-Death Penalty Prop. 34 Trailing: Proposition 34 proposes to replace the death penalty with life ... http://t.co/5UHD84hG #riverside",NULL,News_Riverside,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:27:56",0,NULL,NULL,NULL,twitterfeed,0,NULL,0,NULL,NULL,,129,579177935,0,http://a0.twimg.com/profile_images/2215600655/kuyg2acbbccfdabaf37_normal.jpg,0,2,0,"Riverside,California",0,-25200,3465,"All local  Riverside,California news all on one twitter. Reviews, sports, events, weather, crime, traffic + tons more!",0,News_Riverside,en,0,"Riverside  News Netw",,"2012-05-13 18:32:28",Arizona,1,NULL,NULL,NULL
410,0,266064514229891073,579163957,"Anti-Death Penalty Prop. 34 Trailing: Proposition 34 proposes to replace the death penalty with life im... http://t.co/kW8ZsAPh #sanjose",NULL,NewsSanJoseCA,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:28:18",0,NULL,NULL,NULL,twitterfeed,0,NULL,0,NULL,NULL,,108,579163957,0,http://a0.twimg.com/profile_images/2215542997/kuyg2acbbccfdabaf37_normal.jpg,0,5,0," San Jose,California",0,-25200,6505,"All local   San Jose,California news all on one twitter. Reviews, sports, events, weather, crime, traffic + tons more!",0,NewsSanJoseCA,en,0,"San Jose News Networ",,"2012-05-13 18:08:13",Arizona,1,NULL,NULL,NULL
465,0,266073149286776833,175280579,"Prop. 36 to modify Ca. Three-strike law passes. @Univision34LA @Leon_Krauze @FAveleyra",NULL,Claudia_Botero,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:02:36",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,465,175280579,0,http://a0.twimg.com/profile_images/2491184984/Los_20Angeles-20120810-00097_normal.jpg,0,250,0,"Los Angeles",1,0,227,"Peabody & EMMY Award Winner Journalist. Anchor-Reporter for Univision 34 in Los Angeles",35,Claudia_Botero,en,2,"Claudia Botero",http://www.facebook.com/#!/claudiabotero34,"2010-08-06 04:48:32",,1,NULL,NULL,NULL
478,0,266073629924671489,16021618,"Things not looking so good for Prop. 34 (death penalty repeal) in California, but at least voters did right thing on Prop. 36 (3 strikes)",NULL,siweiluozi,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:04:31",0,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,,478,16021618,0,http://a0.twimg.com/profile_images/2231994030/madmen_icon_reasonably_small_normal.jpg,0,2698,0,"Hong Kong",158,28800,7879,忠言逆耳，何罪之有？,401,siweiluozi,en,57,"Joshua Rosenzweig",http://www.siweiluozi.net,"2008-08-28 02:48:43","Hong Kong",1,"Joshua Rosenzweig",siweiluozi,mention
501,0,266076024515739648,545743517,"PROPOSITION 34: Death penalty initiative losing in early returns - Press-Enterprise http://t.co/KchPldo3",NULL,ExonerateMe,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:14:02",0,NULL,NULL,NULL,dlvr.it,0,NULL,0,NULL,NULL,,501,545743517,0,http://a0.twimg.com/profile_images/2040734190/thumbnail_normal.jpg,0,747,0,"Lansing, MI",8,-14400,4069,"3rd Year Law Student in a death penalty seminar sharing Wrongful Conviction, Actual Innocence, Death Penalty, and Exoneration News.",705,ExonerateMe,en,0,"Project Exoneration",,"2012-04-05 06:32:33","Atlantic Time (Canada)",1,"Project Exoneration",ExonerateMe,mention
509,0,266078394414936064,169627203,"RT @ShayneMallard: Disappointing result in Calafornia with Anti-Death Penalty Prop. 34 defeated - 725 on death row in CA http://t.co/exa ...",NULL,MsCastan,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:23:27",2,NULL,NULL,NULL,"Twitter for iPad",0,NULL,0,NULL,NULL,ShayneMallard,509,169627203,0,http://a0.twimg.com/profile_images/1239017466/Photo_on_2011-02-09_at_15.15_normal.jpg,0,2099,0,"Deep Space",146,36000,18748,"Lecturer, Castan Centre for Human Rights Law @ Monash Uni. TBH, IMHO, views on law, human rights, education, media. Also tweeting for @altlj & @amicae1",1010,MsCastan,en,384,"Melissa Castan",http://www.linkedin.com/pub/melissa-castan/18/953/553,"2010-07-22 20:00:37",Melbourne,1,"Melissa Castan",MsCastan,mention
512,0,266078433728163840,210478178,"RT @ShayneMallard: Disappointing result in Calafornia with Anti-Death Penalty Prop. 34 defeated - 725 on death row in CA http://t.co/exa ...",NULL,aussiepollies,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:23:36",3,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,ShayneMallard,512,210478178,0,http://a0.twimg.com/profile_images/2286390413/6f2b6jw5d53396utdspf_normal.jpeg,0,616,0,Australia,20,36000,24337,"Write about politics, disability and sport. Have written for @ABCRampUp, @TheRoarSports & @AngryOzCripple column on @thepunchcomau",703,aussiepollies,en,14,"Tom Bridge",http://www.aussiepollies.com,"2010-10-31 14:47:07",Brisbane,1,NULL,NULL,NULL
538,0,266085433178460160,27020916,"Now I have to move out of CA? “@KFIAM640: Governor Brown declares victory for Prop. 30. 44% of precincts reported. http://t.co/34qxeDwh”",NULL,SuperAndrea,NULL,NULL,NULL,NULL,0,,"2012-11-07 07:51:25",0,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,,538,27020916,0,http://a0.twimg.com/profile_images/2811907559/ddb82945283951d56eafefb59ec8dc1a_normal.png,1,1207,0,"U.S. of A.",26,-28800,10675,"I am a LEGAL immigrant, conservative to the core. Lover of a free America. I am not rich, I am not white, yet I am conservative. How you like them apples, libs!",1026,SuperAndrea,en,47,"Wise Latina",,"2009-03-27 15:02:08","Pacific Time (US & Canada)",1,NULL,NULL,NULL
584,0,266095127351668736,418489012,"Proposition 34 looks like not getting through http://t.co/zjIOfwcP @JulianBurnside @MsCastan @KenParish1 @profsarahj @donna_stephens1",NULL,mauriedelcitto,NULL,NULL,NULL,NULL,0,,"2012-11-07 08:29:56",0,NULL,NULL,NULL,"Twitter for iPhone",0,...,0,...,NULL,,584,418489012,0,http://a0.twimg.com/profile_images/2381803717/image_normal.jpg,1,43,0,"Melbourne, Australia",1,36000,505,"External law student at Charles Darwin University. Drummer, music history and pop culture junkie. Author of the blog 'The Elephant In The Room. Facebook whore.",207,mauriedelcitto,en,0,"Maurie Del Citto",http://delcitto.blogspot.com,"2011-11-22 07:18:51",Melbourne,1,NULL,NULL,NULL
601,0,266102781729992704,460391883,"The death penalty still the law of the land in California as Prop. 34 goes down to defeat. It would have repealed it.",NULL,MolinaSGVN,NULL,NULL,NULL,NULL,0,,"2012-11-07 09:00:21",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,601,460391883,0,http://a0.twimg.com/profile_images/2340957266/9JJBN8Op_normal,1,170,0,,10,-32400,1247,"Sandra Molina is a general assignment reporter/photographer for MediaNews Group covering entertainment, features, breaking news & college sports. ",261,MolinaSGVN,en,2,"Sandra Molina",http://whittierdailynews.com,"2012-01-10 18:18:00",Alaska,1,"Sandra Molina",MolinaSGVN,mention
609,0,266106095758618624,131835531,"PROPOSITION 34: Death penalty initiative losing in early returns http://t.co/147VRFYB",NULL,Anabel_CYI,NULL,NULL,NULL,NULL,0,,"2012-11-07 09:13:31",0,NULL,NULL,NULL,WordPress.com,0,NULL,0,NULL,NULL,,609,131835531,0,http://a0.twimg.com/profile_images/2210837293/claim_normal.png,1,23,0,pully,0,3600,367,"I am not god, I'm just a human ... I try to to inform people, make them aware of the death penalty. ",18,Anabel_CYI,fr,1,"CLAIM YOUR INNOCENCE",http://claimyourinnocence.wordpress.com,"2010-04-11 13:44:45",Madrid,1,NULL,NULL,NULL
633,0,266115116897009664,297408430,"Are they done counting the votes for proposition 34 in #California? @amnesty",NULL,julie_iversen,NULL,NULL,NULL,NULL,0,,"2012-11-07 09:49:22",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,633,297408430,0,http://a0.twimg.com/profile_images/2742956778/5538e46e898b69e9b4d6bacb031a7e4b_normal.jpeg,1,173,0,,1,3600,1602,"Selvironisk 17 (snart 18) år gammel jente fra H-town. Liker menneskerettigheter, kjærlighet og snille mennesker. Lager sjelden mat, men kan å lage god mojito. 
",199,julie_iversen,en,282,"Julie Iversen",http://juliesi.blogspot.com,"2011-05-12 13:28:30",Stockholm,1,NULL,NULL,NULL
691,0,266147823546941441,40870544,"Höre widersprüchliches. Wurde die Todesstrafe in Kalifornien nun über die Annahme von Proposition 34 abgeschafft oder nicht? #followerpower",NULL,spektrallinie,NULL,NULL,NULL,NULL,0,,"2012-11-07 11:59:20",0,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,,691,40870544,0,http://a0.twimg.com/profile_images/1932274389/IMG_3518kk_normal.jpg,1,483,0,Berlin,15,3600,8694,"as long as it involves schrödinger's cat, I'm all for it. #gruen #digitalnative #anthropology #palebluedot blog: www.spektrallinie.de",575,spektrallinie,en,1164,"Jan Schnorrenberg",,"2009-05-18 13:16:59",Berlin,1,NULL,NULL,NULL
692,0,266148055743594496,190201625,"Anti-Death Penalty Proposition 34 Trails Early http://t.co/ZiMuR9bp #california",NULL,CA,NULL,NULL,NULL,NULL,0,,"2012-11-07 12:00:15",0,NULL,NULL,NULL,"California News",0,NULL,0,NULL,NULL,,517,190201625,0,http://a0.twimg.com/profile_images/2697407440/87bfe1665058434a931070679aa9a359_normal.jpeg,1,1487,0,,32,-18000,25542,"24/7 News, Entertainment, and More!",2,CA,en,0,California,,"2010-09-13 10:23:48","Eastern Time (US & Canada)",1,California,CA,mention
708,0,266159403521171457,15652014,"CA Props 34 (repeal the death penalty) and 37(require GMO food labeling) look to have been defeated.",NULL,theprez98,NULL,NULL,NULL,NULL,0,,"2012-11-07 12:45:21",0,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,,708,15652014,0,http://a0.twimg.com/profile_images/2717443283/b7b3fd09b256e40bb9ef0992d9f92491_normal.jpeg,0,2297,0,Maryland,141,-18000,20646,"Law student, IANAL(y). Father & Husband. USN Veteran (OEF/OIF). Libertarian. Senior Penetration Tester, Booz Allen Hamilton.",1935,theprez98,en,10,"theprez98 (总统)",http://theprez98.blogspot.com/,"2008-07-29 21:47:30","Eastern Time (US & Canada)",1,NULL,NULL,NULL
723,0,266165225160572928,273457099,"RT @smlebens: Anti-Death Penalty Prop. 34 Defeated http://t.co/qeGPQDpQ via @nbcbayarea",NULL,Mike_B_1978,NULL,NULL,NULL,NULL,0,,"2012-11-07 13:08:29",1,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,smlebens,723,273457099,0,http://a0.twimg.com/profile_images/1733923137/barthomercat_reasonably_small_normal.jpeg,1,257,0,"Morganton, NC",4,-18000,3243,"I am a news junkie who is a Pro-Life Catholic. The ideas/opinions are solely mine.  BTW I am single too. DM me anytime.",363,Mike_B_1978,en,8,Mike,,"2011-03-28 14:43:30","Eastern Time (US & Canada)",1,NULL,NULL,NULL
764,0,266179998279421952,574735609,"CA supports law enforcement/victims and rejects abolition of death penalty initiative, Prop. 34",NULL,Gregrowe28,NULL,NULL,NULL,NULL,0,,"2012-11-07 14:07:11",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,764,574735609,0,http://a0.twimg.com/profile_images/2603857166/IMG00032-20100206-1207_normal.jpg,0,46,0,,0,-14400,22,"Legislative Liaison for PA's DAs.  Opinions are my own. ",164,Gregrowe28,en,0,"Greg Rowe",,"2012-05-08 19:34:00","Atlantic Time (Canada)",1,NULL,NULL,NULL
771,0,266183687161405440,239010077,"RT @Amicus_ALJ: Proposition 34 loses in California by 6 percentage points. http://t.co/Ze13hm0T",NULL,one_for_ten,NULL,NULL,NULL,NULL,0,,"2012-11-07 14:21:51",2,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,Amicus_ALJ,771,239010077,0,http://a0.twimg.com/profile_images/1884119310/logo_square_normal.jpg,1,442,0,"London, UK and across the US",13,0,700,"For every 10 people executed in the USA since 1976, 1 has been released. These films meet ten innocent people who spent time on death row. ",1050,one_for_ten,en,5,"One For Ten",http://www.oneforten.com,"2011-01-16 15:51:13",Casablanca,1,"One For Ten",one_for_ten,mention
835,0,266197294452465664,12804312,"Proposition 34, the initiative to repeal the death penalty in California, fails 53% to 47%. More on the props here: http://t.co/gZh3bPaI",NULL,KPCC,NULL,NULL,NULL,NULL,0,,"2012-11-07 15:15:55",0,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,,835,12804312,1,http://a0.twimg.com/profile_images/1545969777/kpcc-twitter-logo_normal.png,0,19968,0,"Los Angeles, California",1006,-28800,27791,"Conversation and news from KPCC, the public media news source for So. California, delivering news, information & entertainment.",1780,KPCC,en,81,"89.3 KPCC",http://www.kpcc.org,"2008-01-28 22:31:39","Pacific Time (US & Canada)",1,"89.3 KPCC",KPCC,mention
